name,state,short_label
Alice L. Walton School of Medicine,AR,Alice Walton SOM
Anne Burnett Marion School of Medicine at TCU,TX,TCU SOM
Baylor College of Medicine,TX,Baylor
Brody School of Medicine at East Carolina University,NC,ECU Brody
Charles E. Schmidt College of Medicine at Florida Atlantic University,FL,FAU COM
Duke University School of Medicine,NC,Duke SOM
East Tennessee State University James H. Quillen College of Medicine,TN,ETSU Quillen
Eastern Virginia Medical School at Old Dominion University,VA,EVMS
Emory University School of Medicine,GA,Emory SOM
Florida International University Herbert Wertheim College of Medicine,FL,FIU HWCOM
Florida State University College of Medicine,FL,FSU COM
Frederick P. Whiddon College of Medicine at the University of South Alabama,AL,USA Whiddon
Louisiana State University School of Medicine in New Orleans,LA,LSU-NO
Louisiana State University School of Medicine in Shreveport,LA,LSU-S
Marshall University Joan C. Edwards School of Medicine,WV,Marshall SOM
McGovern Medical School at the University of Texas Health Science Center at Houston,TX,UTHealth McGovern
Medical College of Georgia at Augusta University,GA,MCG Augusta
Medical University of South Carolina College of Medicine,SC,MUSC COM
Meharry Medical College,TN,Meharry
Mercer University School of Medicine,GA,Mercer SOM
Morehouse School of Medicine,GA,Morehouse SOM
Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,FL,NSU Patel
Ponce School of Medicine and Health Sciences,PR,Ponce SOM
San Juan Bautista School of Medicine,PR,San Juan Bautista SOM
Texas A&M Health Science Center College of Medicine,TX,Texas A&M COM
Texas Tech University Health Sciences Center Paul L. Foster School of Medicine,TX,TTUHSC Foster
Texas Tech University Health Sciences Center School of Medicine,TX,TTUHSC SOM
The University of Texas at Austin Dell Medical School,TX,Dell Med
The University of Texas Medical Branch John Sealy School of Medicine,TX,UTMB John Sealy
The University of Texas Rio Grande Valley School of Medicine,TX,UTRGV SOM
The University of Texas School of Medicine San Antonio Joe R. and Teresa Lozano Long School of Medicine,TX,UT Health SA Long SOM
The University of Texas Southwestern Medical School,TX,UT Southwestern
The University of Texas at Tyler School of Medicine,TX,UT Tyler SOM
Tulane University School of Medicine,LA,Tulane SOM
Universidad Central del Caribe School of Medicine,PR,UCC SOM
University of Alabama at Birmingham Marnix E. Heersink School of Medicine,AL,UAB Heersink
University of Arkansas for Medical Sciences College of Medicine,AR,UAMS COM
University of Central Florida College of Medicine,FL,UCF COM
University of Florida College of Medicine,FL,UF COM
University of Georgia School of Medicine,GA,UGA SOM
University of Houston Tilman J. Fertitta Family College of Medicine,TX,UH Fertitta
University of Kentucky College of Medicine,KY,UK COM
University of Louisville School of Medicine,KY,UL SOM
University of Miami Leonard M. Miller School of Medicine,FL,UM Miller
University of Mississippi School of Medicine,MS,UMMC SOM
University of North Carolina at Chapel Hill School of Medicine,NC,UNC SOM
University of Oklahoma College of Medicine,OK,OU COM
University of Puerto Rico School of Medicine,PR,UPR SOM
University of South Carolina School of Medicine Columbia,SC,USC SOM Columbia
University of South Carolina School of Medicine Greenville,SC,USC SOM Greenville
University of Tennessee Health Science Center College of Medicine,TN,UTHSC COM
University of Virginia School of Medicine,VA,UVA SOM
USF Health Morsani College of Medicine,FL,USF Morsani
Vanderbilt University School of Medicine,TN,Vanderbilt SOM
Virginia Commonwealth University School of Medicine,VA,VCU SOM
Virginia Tech Carilion School of Medicine,VA,VTCSOM
Wake Forest School of Medicine of Wake Forest Baptist Medical Center,NC,Wake Forest SOM
West Virginia University School of Medicine,WV,WVU SOM
